model,created,updated,downloads,likes,parameters
cmarkea/distilcamembert-base-sentiment,2022-03-02 23:29:05+00:00,2024-05-22 17:36:59+00:00,7776,32,68099079
tblard/tf-allocine,2022-03-02 23:29:05+00:00,2020-12-11 22:02:40+00:00,7725,9,0
bvanaken/clinical-assertion-negation-bert,2022-03-02 23:29:05+00:00,2022-06-01 12:28:45+00:00,7620,26,0
textattack/bert-base-uncased-MRPC,2022-03-02 23:29:05+00:00,2021-05-20 07:32:52+00:00,7581,3,0
cardiffnlp/twitter-roberta-base-dec2021-tweet-topic-multi-all,2022-09-29 17:01:29+00:00,2022-09-30 00:31:18+00:00,7517,9,0
cointegrated/rubert-tiny2-cedr-emotion-detection,2022-03-02 23:29:05+00:00,2023-03-20 09:52:11+00:00,7330,29,29197694
nlp04/korean_sentiment_analysis_kcelectra,2023-01-17 14:34:53+00:00,2023-01-18 03:26:01+00:00,7103,4,0
OpenAlex/bert-base-multilingual-cased-finetuned-openalex-topic-classification-title-abstract,2024-01-06 12:31:28+00:00,2024-05-13 18:19:52+00:00,7099,1,181330089
AdamCodd/distilroberta-nsfw-prompt-stable-diffusion,2024-01-24 14:35:12+00:00,2024-07-24 07:18:37+00:00,6929,9,82119938
s-nlp/roberta-base-formality-ranker,2022-03-02 23:29:05+00:00,2023-09-08 08:44:43+00:00,6804,18,124647684
nreimers/mmarco-mMiniLMv2-L12-H384-v1,2022-05-20 07:40:39+00:00,2022-05-20 07:40:57+00:00,6637,14,0
matthewburke/korean_sentiment,2022-03-02 23:29:05+00:00,2022-01-16 02:31:37+00:00,6601,15,0
intfloat/simlm-msmarco-reranker,2022-08-11 05:27:09+00:00,2023-05-22 09:36:12+00:00,6594,12,0
wukevin/tcr-bert,2022-03-02 23:29:05+00:00,2021-11-22 08:32:15+00:00,6574,4,0
JanSt/albert-base-v2_mbti-classification,2023-03-15 22:17:36+00:00,2023-03-18 10:25:39+00:00,6541,13,0
hatemnoaman/bert-base-arabic-finetuned-emotion,2022-10-15 15:52:10+00:00,2023-12-03 19:48:10+00:00,6537,2,0
laiking/bert-base-german-cased-gnad10,2022-03-02 23:29:04+00:00,2023-10-09 08:26:38+00:00,6465,2,109088777
padmajabfrl/Gender-Classification,2023-01-09 10:13:14+00:00,2023-01-09 10:52:54+00:00,6320,25,0
TrustSafeAI/RADAR-Vicuna-7B,2023-06-24 03:16:04+00:00,2023-11-07 17:18:27+00:00,6289,5,0
climatebert/distilroberta-base-climate-sentiment,2022-03-02 23:29:05+00:00,2023-06-02 13:53:52+00:00,6169,4,82301701
jackhhao/jailbreak-classifier,2023-09-30 02:18:28+00:00,2024-04-05 01:02:15+00:00,6158,5,0
yaniseuranova/setfit-rag-hybrid-search-query-router,2024-05-28 13:03:44+00:00,2024-06-25 14:28:07+00:00,6103,2,567754752
cardiffnlp/twitter-roberta-base-emotion-multilabel-latest,2023-03-01 21:14:01+00:00,2023-05-28 05:08:45+00:00,6053,17,0
sbcBI/sentiment_analysis_model,2022-05-04 05:33:05+00:00,2022-05-16 18:37:13+00:00,5996,3,0
citizenlab/distilbert-base-multilingual-cased-toxicity,2022-03-02 23:29:05+00:00,2022-12-02 13:50:14+00:00,5899,13,0
DATEXIS/CORe-clinical-diagnosis-prediction,2022-03-02 23:29:05+00:00,2022-02-17 09:36:23+00:00,5846,21,0
climatebert/distilroberta-base-climate-commitment,2022-03-02 23:29:05+00:00,2023-06-20 18:51:55+00:00,5827,2,82300932
yoshitomo-matsubara/bert-large-uncased-qqp,2022-03-02 23:29:05+00:00,2024-04-19 02:28:56+00:00,5745,0,0
seara/rubert-tiny2-ru-go-emotions,2023-05-02 16:52:52+00:00,2023-08-25 19:25:01+00:00,5739,6,29204580
unsloth/gemma-2b-it-bnb-4bit,2024-02-21 17:42:51+00:00,2024-05-09 03:25:37+00:00,5659,15,1546410721
hubert233/GPTFuzz,2023-09-20 03:10:19+00:00,2024-06-28 18:25:16+00:00,5618,8,0
cross-encoder/qnli-distilroberta-base,2022-03-02 23:29:05+00:00,2021-08-05 08:41:18+00:00,5607,0,0
BAAI/bge-reranker-v2-minicpm-layerwise,2024-03-16 15:19:29+00:00,2024-03-19 09:26:28+00:00,5587,27,2724956928
manueldeprada/FactCC,2023-10-17 12:31:36+00:00,2023-10-17 13:52:05+00:00,5485,3,0
yiyanghkust/finbert-fls,2022-05-12 01:33:03+00:00,2022-06-10 23:20:05+00:00,5478,22,0
philomath-1209/programming-language-identification,2024-01-05 14:54:01+00:00,2024-02-02 13:45:35+00:00,5461,3,83470874
cardiffnlp/twitter-roberta-large-hate-latest,2023-11-09 10:42:56+00:00,2024-03-07 12:17:23+00:00,5421,2,355367944
XSY/albert-base-v2-fakenews-discriminator,2022-03-02 23:29:05+00:00,2021-11-16 13:11:50+00:00,5395,1,0
mshenoda/roberta-spam,2023-06-04 02:30:20+00:00,2024-04-06 06:22:54+00:00,5250,20,124647684
jeveuxaider/activity-classifier,2022-11-17 08:13:03+00:00,2022-11-17 08:41:32+00:00,5188,0,0
cardiffnlp/twitter-roberta-base-emoji,2022-03-02 23:29:05+00:00,2022-11-28 11:27:48+00:00,5177,14,0
tals/albert-xlarge-vitaminc-mnli,2022-03-02 23:29:05+00:00,2023-03-17 05:27:53+00:00,5176,5,58731523
leondz/refutation_detector_distilbert,2023-06-02 20:15:04+00:00,2023-06-06 00:14:54+00:00,5162,0,0
marcuskd/norbert2_sentiment_test1,2023-01-30 13:59:25+00:00,2023-01-31 13:51:56+00:00,5157,0,0
pysentimiento/bert-pt-emotion,2023-09-08 14:48:30+00:00,2023-09-08 14:49:36+00:00,5110,1,0
cointegrated/roberta-large-cola-krishna2020,2022-03-02 23:29:05+00:00,2023-06-13 09:38:15+00:00,5052,6,355362308
Intel/distilbert-base-uncased-finetuned-sst-2-english-int8-static-inc,2022-03-29 05:04:36+00:00,2023-06-27 08:21:13+00:00,5037,5,0
unitary/multilingual-toxic-xlm-roberta,2022-03-02 23:29:05+00:00,2023-08-18 10:43:10+00:00,5027,15,0
fergusq/finbert-finnsentiment,2022-03-02 23:29:05+00:00,2023-03-24 11:14:28+00:00,5026,2,124524803
caush/Clickbait1,2022-04-26 18:25:39+00:00,2022-05-02 20:36:10+00:00,4938,0,0
cross-encoder/quora-roberta-large,2022-03-02 23:29:05+00:00,2021-08-05 08:41:41+00:00,4903,3,0
ERCDiDip/langdetect,2022-11-25 08:29:03+00:00,2023-03-27 15:02:39+00:00,4880,8,278075691
LaLaf93/inproceedings_recognizer,2024-06-30 18:00:11+00:00,2024-07-05 14:58:19+00:00,4834,0,66955010
LaLaf93/phdthesis_recognizer,2024-06-30 18:14:34+00:00,2024-07-05 15:25:54+00:00,4828,0,66955010
LaLaf93/proceedings_recognizer,2024-06-30 17:52:46+00:00,2024-07-05 14:50:01+00:00,4817,0,66955010
mr4/bert-base-jp-sentiment-analysis,2023-03-20 04:45:19+00:00,2023-03-20 06:54:56+00:00,4815,0,111209218
LaLaf93/article_recognizer,2024-06-30 17:45:44+00:00,2024-07-05 14:41:33+00:00,4803,0,66955010
LaLaf93/incollection_recognizer,2024-06-30 18:07:40+00:00,2024-07-05 15:06:41+00:00,4799,0,66955010
LaLaf93/book_recognizer,2024-06-30 17:32:06+00:00,2024-07-05 14:33:18+00:00,4790,0,66955010
Ray2333/gpt2-large-harmless-reward_model,2024-01-14 15:35:30+00:00,2024-06-02 18:19:46+00:00,4788,2,774031360
LiYuan/amazon-review-sentiment-analysis,2022-04-30 20:37:44+00:00,2022-04-30 22:03:23+00:00,4580,29,0
kwoncho/losscut_news_pre2021_2,2024-06-05 04:37:15+00:00,2024-06-05 04:38:19+00:00,4579,0,0
jeffwan/mmarco-mMiniLMv2-L12-H384-v1,2023-09-15 17:49:50+00:00,2023-09-15 18:17:35+00:00,4575,4,0
kwoncho/losscut_news_pre2022_2,2024-06-05 04:40:33+00:00,2024-06-05 04:41:28+00:00,4549,0,0
kwoncho/losscut_news_pre2023_2,2024-06-05 04:43:42+00:00,2024-06-05 04:44:35+00:00,4539,0,0
finiteautomata/beto-sentiment-analysis,2022-03-02 23:29:05+00:00,2023-02-25 14:23:57+00:00,4484,25,0
navteca/quora-roberta-base,2022-03-02 23:29:05+00:00,2021-03-25 16:10:08+00:00,4477,0,0
nickmuchi/sec-bert-finetuned-finance-classification,2022-03-08 03:30:54+00:00,2023-03-18 23:52:43+00:00,4477,13,0
philschmid/distilbert-base-multilingual-cased-sentiment,2022-03-02 23:29:05+00:00,2022-01-24 12:14:53+00:00,4454,2,0
nidhi9/sql_classifier,2024-01-08 20:48:28+00:00,2024-04-24 09:20:16+00:00,4414,1,109483778
cleanrl/EleutherAI_pythia-1b-deduped__reward__tldr,2024-05-07 19:25:02+00:00,2024-05-15 02:49:15+00:00,4412,0,0
hamzab/roberta-fake-news-classification,2022-03-29 17:36:03+00:00,2023-07-04 08:46:28+00:00,4401,4,0
fmops/distilbert-prompt-injection,2023-07-17 21:14:51+00:00,2023-07-28 17:56:32+00:00,4396,5,66955010
Ray2333/gpt2-large-helpful-reward_model,2024-01-15 11:50:39+00:00,2024-06-02 18:20:16+00:00,4370,6,774031360
kwoncho/losscut_news_pre2017_2,2024-06-05 04:24:17+00:00,2024-06-05 04:25:16+00:00,4330,0,0
StephanAkkerman/FinTwitBERT-sentiment,2023-12-13 16:34:16+00:00,2024-02-21 11:33:22+00:00,4292,6,109755651
cbrosch/product_name_classifier,2023-07-18 13:10:37+00:00,2023-07-18 13:12:04+00:00,4243,0,0
AntoineMC/distilbart-mnli-github-issues,2023-02-19 21:23:47+00:00,2023-02-26 20:33:57+00:00,4228,3,0
kwoncho/losscut_news_pre2018_2,2024-06-05 04:27:27+00:00,2024-06-05 04:28:30+00:00,4215,0,0
kwoncho/losscut_news_pre2020_2,2024-06-05 04:33:57+00:00,2024-06-05 04:34:59+00:00,4213,0,0
d4data/bias-detection-model,2022-03-02 23:29:05+00:00,2022-08-09 02:40:59+00:00,4185,38,0
patrickquick/BERTicelli,2022-05-02 18:36:32+00:00,2022-05-10 09:03:48+00:00,4179,0,0
dhpollack/distilbert-dummy-sentiment,2022-03-02 23:29:05+00:00,2021-03-23 17:40:32+00:00,4131,0,0
bucketresearch/politicalBiasBERT,2023-01-31 06:01:54+00:00,2023-07-13 20:52:09+00:00,4114,13,108313091
textattack/distilbert-base-uncased-imdb,2022-03-02 23:29:05+00:00,2020-07-06 16:34:50+00:00,4094,0,0
textattack/bert-base-uncased-ag-news,2022-03-02 23:29:05+00:00,2021-05-20 07:40:21+00:00,4045,4,0
seara/rubert-base-cased-ru-go-emotions,2023-05-02 17:05:52+00:00,2023-08-25 19:26:01+00:00,4039,2,177875484
peerapongch/baikal-sentiment-ball,2022-04-11 07:47:53+00:00,2022-04-11 07:57:59+00:00,4022,0,0
j-hartmann/emotion-english-roberta-large,2022-03-02 23:29:05+00:00,2021-08-29 11:48:09+00:00,3990,14,0
hubtype/distilbert-base-uncased-nonsense,2022-09-13 15:43:03+00:00,2022-09-14 08:09:05+00:00,3942,3,0
JuliusAlphonso/distilbert-plutchik,2022-03-02 23:29:04+00:00,2021-06-19 22:06:23+00:00,3928,6,0
kwoncho/losscut_news_pre2019_2,2024-06-05 04:30:46+00:00,2024-06-05 04:31:44+00:00,3893,0,0
davanstrien/chat_topics,2023-05-29 18:39:42+00:00,2023-06-01 08:10:20+00:00,3867,2,0
iamsubrata/distilbert-base-uncased-finetuned-emotion,2023-11-30 08:29:38+00:00,2023-11-30 14:36:41+00:00,3856,0,66958086
microsoft/deberta-v2-xlarge-mnli,2022-03-02 23:29:05+00:00,2024-02-21 15:32:29+00:00,3848,7,0
crystina-z/monoELECTRA_LCE_nneg31,2022-03-02 23:29:05+00:00,2024-05-07 04:12:36+00:00,3750,1,0
protectai/distilroberta-base-rejection-v1,2024-01-20 09:47:50+00:00,2024-03-11 13:12:04+00:00,3695,2,82119938
NYTK/sentiment-hts5-xlm-roberta-hungarian,2022-03-02 23:29:04+00:00,2023-01-23 08:46:44+00:00,3657,0,0
kwoncho/gaincut_news_pre2021_3,2024-05-29 08:00:04+00:00,2024-05-31 08:18:50+00:00,3653,0,0
kwoncho/gaincut_news_pre2022_3,2024-05-29 08:03:14+00:00,2024-05-31 08:20:56+00:00,3653,0,0
kwoncho/losscut_news_pre2021_3,2024-05-31 08:39:54+00:00,2024-05-31 08:40:54+00:00,3646,0,0
kwoncho/losscut_news_pre2023_3,2024-05-31 08:45:49+00:00,2024-05-31 08:46:50+00:00,3638,0,0
kwoncho/losscut_news_pre2022_3,2024-05-31 08:42:50+00:00,2024-05-31 08:43:53+00:00,3624,0,0
kwoncho/gaincut_news_pre2023_3,2024-05-29 08:06:15+00:00,2024-05-31 08:23:01+00:00,3622,0,0
Xenova/bge-reranker-base,2023-09-13 15:50:14+00:00,2024-03-16 21:49:51+00:00,3602,5,0
kwoncho/losscut_news_pre2020_3,2024-05-31 08:36:57+00:00,2024-05-31 08:37:58+00:00,3585,0,0
kwoncho/gaincut_news_pre2020_3,2024-05-29 07:57:04+00:00,2024-05-31 08:16:42+00:00,3532,0,0
WillHeld/roberta-base-stsb,2022-09-19 12:55:34+00:00,2022-09-19 13:10:37+00:00,3501,0,0
helinivan/multilingual-sarcasm-detector,2022-11-04 17:22:42+00:00,2022-12-04 20:05:42+00:00,3482,2,0
kwoncho/gaincut_news_pre2019_3,2024-05-29 07:54:04+00:00,2024-05-31 08:14:37+00:00,3454,0,0
kwoncho/losscut_news_pre2019_3,2024-05-31 08:33:53+00:00,2024-05-31 08:34:56+00:00,3439,0,0
simoneteglia/xlm-roberta-europarl-language-detection,2023-06-02 16:22:30+00:00,2024-03-28 10:27:05+00:00,3419,2,278060311
kwoncho/gaincut_news_pre2018_3,2024-05-29 07:51:14+00:00,2024-05-31 08:12:38+00:00,3410,0,0
alexandrainst/da-hatespeech-detection-small,2022-03-02 23:29:04+00:00,2023-09-20 11:56:29+00:00,3377,0,0
Wellcome/WellcomeBertMesh,2022-03-02 23:29:05+00:00,2023-04-26 09:53:48+00:00,3372,5,0
kwoncho/losscut_news_pre2018_3,2024-05-31 08:30:50+00:00,2024-05-31 08:31:58+00:00,3351,0,0
LondonStory/txlm-roberta-hindi-sentiment,2022-10-05 11:31:24+00:00,2022-10-05 12:25:30+00:00,3347,1,0
kwoncho/losscut_news_pre2017_3,2024-05-31 08:27:59+00:00,2024-05-31 08:28:57+00:00,3334,0,0
uer/roberta-base-finetuned-dianping-chinese,2022-03-02 23:29:05+00:00,2023-10-17 15:19:16+00:00,3329,40,0
kwoncho/gaincut_news_pre2017_3,2024-05-29 07:48:16+00:00,2024-05-31 08:10:39+00:00,3324,0,0
mohamednihal/noReply,2024-02-26 12:09:28+00:00,2024-02-26 12:10:08+00:00,3319,0,109486464
nfliu/deberta-v3-large_boolq,2023-09-07 05:55:24+00:00,2023-09-08 05:40:57+00:00,3257,0,435063810
cross-encoder/qnli-electra-base,2022-03-02 23:29:05+00:00,2021-08-05 08:41:23+00:00,3252,2,0
ChaiML/gpt2_xl_pairwise_89m_step_347634,2024-06-21 13:04:24+00:00,2024-06-21 13:06:55+00:00,3240,0,1557612800
faizaulia/e5-fine-tune-polri-news-emotion,2024-04-20 04:05:33+00:00,2024-04-25 10:23:18+00:00,3212,0,559896582
moussaKam/frugalscore_medium_bert-base_mover-score,2022-03-02 23:29:05+00:00,2022-05-11 11:07:21+00:00,3187,0,0
jinaai/jina-reranker-v1-tiny-en,2024-04-15 07:36:45+00:00,2024-06-20 06:50:01+00:00,3181,11,33046273
snoneeightfive/final-luna-sentiment-analysis,2024-04-05 23:45:18+00:00,2024-04-05 23:58:07+00:00,3154,2,124647939
shahrukhx01/bert-mini-finetune-question-detection,2022-03-02 23:29:05+00:00,2023-03-29 22:00:48+00:00,3121,16,11171586
AlignmentResearch/robust_llm_pythia-imdb-14m-mz-ada-v3,2024-03-15 10:34:52+00:00,2024-03-15 10:34:57+00:00,3059,0,7629056
fabriceyhc/bert-base-uncased-ag_news,2022-03-02 23:29:05+00:00,2021-09-21 00:54:07+00:00,3056,0,0
nickmuchi/distilroberta-finetuned-financial-text-classification,2022-03-02 23:29:05+00:00,2023-09-11 13:23:38+00:00,3042,12,0
DFJordan/EmailClassifierClaude,2024-03-07 18:33:43+00:00,2024-03-07 18:34:17+00:00,2980,0,109483778
DiTy/cross-encoder-russian-msmarco,2024-04-19 15:24:56+00:00,2024-07-25 19:03:58+00:00,2921,2,177854209
cointegrated/rubert-tiny-sentiment-balanced,2022-03-02 23:29:05+00:00,2023-03-20 09:53:10+00:00,2919,13,11785619
ai4stem-uga/G-SciEdBERT,2024-02-11 04:52:49+00:00,2024-02-13 09:15:51+00:00,2897,0,109112880
protectai/codebert-base-Malicious_URLs-onnx,2023-11-12 21:12:48+00:00,2024-03-25 12:06:30+00:00,2852,1,0
valurank/distilroberta-bias,2022-03-02 23:29:05+00:00,2022-06-08 20:44:39+00:00,2848,4,0
huggingface/CodeBERTa-language-id,2022-03-02 23:29:05+00:00,2024-03-29 10:43:55+00:00,2811,45,0
indrapurnayasa/fine-tuned-sentiment-analysis-model,2024-07-11 01:06:32+00:00,2024-07-11 02:30:04+00:00,2791,0,124647939
Jellywibble/CHAI_alignment_reward_model,2024-06-09 06:13:45+00:00,2024-06-10 03:44:47+00:00,2772,5,124441344
nikcheerla/amd-full-v1,2024-01-08 23:49:34+00:00,2024-01-08 23:49:53+00:00,2660,0,109486464
microsoft/deberta-v2-xxlarge-mnli,2022-03-02 23:29:05+00:00,2021-05-21 20:08:40+00:00,2649,7,0
derenrich/psychiq2,2022-12-29 05:55:40+00:00,2023-01-03 05:36:24+00:00,2645,0,0
nikcheerla/amd-partial-v1,2024-01-04 17:58:56+00:00,2024-01-04 17:59:11+00:00,2642,0,109486464
MilaNLProc/feel-it-italian-emotion,2022-03-02 23:29:04+00:00,2022-08-15 20:36:13+00:00,2641,14,0
fabriceyhc/bert-base-uncased-imdb,2022-03-02 23:29:05+00:00,2022-08-30 00:40:47+00:00,2622,1,0
nikcheerla/amd-full-phonetree-v1,2024-01-08 19:49:15+00:00,2024-01-08 19:49:30+00:00,2620,0,109486464
nikcheerla/amd-partial-phonetree-v1,2024-01-04 18:45:43+00:00,2024-01-04 18:45:59+00:00,2615,0,109486464
philschmid/BERT-Banking77,2022-06-02 10:37:57+00:00,2022-12-05 13:36:09+00:00,2610,10,0
nikcheerla/amd-power-dialer-v1,2023-08-25 19:04:32+00:00,2023-09-01 06:28:43+00:00,2610,0,0
cardiffnlp/twitter-roberta-base-hate,2022-03-02 23:29:05+00:00,2023-04-19 07:54:22+00:00,2602,14,0
weqweasdas/RM-Mistral-7B,2024-03-22 14:02:42+00:00,2024-03-31 19:06:43+00:00,2590,20,7110668288
Kevinger/Hub-Report-1705947362,2024-01-22 18:16:06+00:00,2024-01-22 18:50:24+00:00,2572,0,109492616
cardiffnlp/twitter-roberta-base-hate-latest,2023-03-30 05:47:39+00:00,2023-08-02 00:30:47+00:00,2568,14,0
razent/SciFive-base-Pubmed,2022-03-02 23:29:05+00:00,2022-11-27 04:03:08+00:00,2519,4,0
lucas-leme/FinBERT-PT-BR,2022-12-04 22:15:16+00:00,2024-02-13 15:20:33+00:00,2518,19,0
zhayunduo/roberta-base-stocktwits-finetuned,2022-04-02 13:48:34+00:00,2023-04-22 03:45:03+00:00,2482,20,0
michellejieli/inappropriate_text_classifier,2022-12-10 20:00:03+00:00,2022-12-10 20:08:21+00:00,2473,8,0
vishnun/codenlbert-sm,2023-07-30 04:40:34+00:00,2023-08-03 18:01:06+00:00,2465,0,28765186
DunnBC22/codebert-base-Malicious_URLs,2023-05-20 05:16:27+00:00,2023-06-10 22:54:37+00:00,2408,4,0
Hello-SimpleAI/chatgpt-qa-detector-roberta,2023-01-19 10:29:39+00:00,2023-01-19 11:02:25+00:00,2402,1,0
NYTK/hucola-puli-bert-large-hungarian,2023-04-18 09:21:46+00:00,2023-04-18 09:29:19+00:00,2372,1,0
elozano/bert-base-cased-news-category,2022-03-02 23:29:05+00:00,2022-03-01 20:30:48+00:00,2361,10,0
apanc/russian-inappropriate-messages,2022-03-02 23:29:05+00:00,2021-05-18 22:39:46+00:00,2330,18,0
JiaqiLee/imdb-finetuned-bert-base-uncased,2023-03-24 12:23:18+00:00,2023-03-28 08:07:13+00:00,2316,6,0
teomotun/finetuning-sentiment-model-for-c2er,2022-10-20 04:31:13+00:00,2022-10-21 05:15:30+00:00,2305,0,0
marma/bert-base-swedish-cased-sentiment,2022-03-02 23:29:05+00:00,2021-05-19 23:02:02+00:00,2250,1,0
